DateTime,Entries,UniqueIPs
1483455602,163,163
1483470002,178,178
1483484402,181,181
1483498802,183,183
1483513202,206,206
1483527602,205,205
1483542002,199,199
1483556406,206,206
1483570802,220,220
1483585202,224,224
1483599602,222,222
1483614002,213,213
1483628401,219,219
1483642802,228,228
1483657202,232,232
1483671602,222,222
1483686010,217,217
1483700402,207,207
1483714802,222,222
1483729203,202,202
1483743602,215,215
1483758002,215,215
1483772402,205,205
1483786802,185,185
1483801203,204,204
1483815602,196,196
1483830002,196,196
1483844402,223,223
1483858802,229,229
1483873202,219,219
1483887602,202,202
1483902003,202,202
1483916402,216,216
1483930802,221,221
1483945203,214,214
1483959602,198,198
1483974002,209,209
1483988402,197,197
1484002802,199,199
1484017202,200,200
1484031602,197,197
1484046002,206,206
1484060402,198,198
1484074803,189,189
1484089203,196,196
1484103602,209,209
1484118003,221,221
1484132402,215,215
1484146802,199,199
1484161201,180,180
1484175602,201,201
1484190002,227,227
1484204402,239,239
1484218802,234,234
1484233202,241,241
1484247602,225,225
1484262003,230,230
1484276402,221,221
1484290801,212,212
1484305202,211,211
1484319602,217,217
1484334003,214,214
1484348402,193,193
1484362802,185,185
1484377202,188,188
1484391602,177,177
1484406002,158,158
1484420402,143,143
1484434802,154,154
1484449202,177,177
1484463602,192,192
1484478002,178,178
1484492402,160,160
1484506803,172,172
1484521202,161,161
1484535603,163,163
1484550002,192,192
1484564402,192,192
1484578802,190,190
1484593203,181,181
1484607603,158,158
1484622003,164,164
1484636403,170,170
1484650802,151,151
1484665202,161,161
1484679602,169,169
1484694002,152,152
1484708403,148,148
1484722802,153,153
1484737202,142,142
1484751602,151,151
1484766002,146,146
1484780402,135,135
1484794802,173,173
1484809202,180,180
1484823602,180,180
1484838002,177,177
1484852402,190,190
1484866803,192,192
1484881202,192,192
1484895603,212,212
1484910002,211,211
1484924403,239,239
1484938802,228,228
1484953202,190,190
1484967602,194,194
1484982003,198,198
1484996403,185,185
1485010803,178,178
1485025202,182,182
1485039602,164,164
1485054002,171,171
1485068402,170,170
1485082802,139,139
1485097202,168,168
1485111603,177,177
1485126002,171,171
1485140402,190,190
1485154802,205,205
1485169202,195,195
1485183602,202,202
1485198001,224,224
1485212402,217,217
1485226802,238,238
1485241202,246,246
1485255602,220,220
1485270002,224,224
1485284403,239,239
1485298810,217,217
1485313208,223,223
1485327610,230,230
1485342009,215,215
1485356408,212,212
1485370808,207,207
1485385211,188,188
1485399621,232,232
1485414008,258,258
1485428409,268,268
1485442808,288,288
1485457208,293,293
1485471609,285,285
1485486007,324,324
1485500409,333,333
1485514808,324,324
1485529210,338,338
1485543609,313,313
1485558010,265,265
1485572410,258,258
1485586807,249,249
1485601209,232,232
1485615608,256,256
1485630009,247,247
1485644410,203,203
1485658808,230,230
1485673209,230,230
1485687609,206,206
1485702009,223,223
1485716409,239,239
1485730809,243,243
1485745208,258,258
1485759610,268,268
1485774013,250,250
1485788408,270,270
1485802809,273,273
1485817211,248,248
1485831608,279,279
1485846008,287,287
1485860408,262,262
1485874807,243,243
1485889208,233,233
1485903608,207,207
1485918008,198,198
1485932407,195,195
1485946808,171,171
1485961208,177,177
1485975608,166,166
1485990008,152,152
1486004407,181,181
1486018808,201,201
1486033208,197,197
1486047607,198,198
1486062009,211,211
1486076408,217,217
1486090808,234,234
1486105209,243,243
1486119609,231,231
1486134010,224,224
1486148409,204,204
1486162810,165,165
1486177209,180,180
1486191609,185,185
1486206010,172,172
1486220406,173,173
1486249211,141,141
1486263610,173,173
